"COD","INDICADOR_REND_P_FUND","SAEB_MEDIA_FUND","IDEB_2021_FUND","INDICADOR_REND_P_ENS_MEDIO","SAEB_MEDIA_ENS_MEDIO","IDEB_2021_ENS_MEDIO"
2204105,"0.980667","4.944096","4.8","0.92618","4.172787","3.9"
2204154,"1","5.333561","5.3","1","3.817415","3.8"
2204204,"1","5.154001","5.2","0.825326","-","-"
2204303,"0.984055","6.082102","6","0.929253","4.191327","3.9"
2204352,"0.979124","-","-","0.963811","-","-"
2204402,"0.896252","4.176289","3.7","0.86367","4.382677","3.8"
2204501,"0.991141","4.831182","4.8","0.868375","4.250702","3.7"
2204550,"0.970115","-","-","0.970511","-","-"
2204600,"0.996759","4.979647","5","0.965661","-","-"
2204659,"0.951656","4.475815","4.3","0.977831","-","-"
2204709,"0.998794","-","-","0.879677","3.805395","3.3"
2204808,"1","5.847036","5.8","0.930637","-","-"
2204907,"0.99839","6.003491","6","0.979267","-","-"
2205003,"1","5.557432","5.6","0.94498","-","-"
2205102,"0.993965","4.889241","4.9","0.911543","-","-"
2205151,"0.989291","5.631613","5.6","0.991525","4.432451","4.4"
2205201,"1","4.863153","4.9","0.942333","4.3365","4.1"
2205250,"0.993642","4.604318","4.6","0.990835","-","-"
2205276,"1","5.335683","5.3","0.988263","3.958706","3.9"
2205300,"0.976672","4.314511","4.2","0.982759","-","-"
2205359,"1","-","-","1","3.215148","3.2"
2205409,"1","5.738088","5.7","1","4.334273","4.3"
2205458,"0.917552","5.051352","4.6","0.957349","-","-"
2205508,"0.996993","4.771328","4.8","0.982608","4.012494","3.9"
2205516,"1","5.214337","5.2","0.995968","-","-"
2205524,"0.98914","-","-","0.784614","-","-"
2205532,"0.990644","3.584102","3.6","0.934094","-","-"
2205540,"1","4.728509","4.7","0.946528","4.148721","3.9"
2205557,"1","5.057617","5.1","1","-","-"
2205565,"1","4.989672","5","0.847295","-","-"
2205573,"0.966753","4.511231","4.4","0.89726","4.501266","4"
2205581,"0.977568","-","-","1","-","-"
2205599,"1","5.157861","5.2","0.743907","-","-"
2205607,"0.982792","5.484964","5.4","0.779468","-","-"
2205706,"0.970064","5.088708","4.9","0.955627","-","-"
2205805,"0.968566","5.014913","4.9","0.982309","4.191152","4.1"
