UF,COD,MUN,ARRECADACAO_TOTAL_IMPOSTOS
BA,2930709,Simões Filho,51035199.4113541
BA,2930758,Sítio do Mato,76906.1304602402
BA,2930766,Sítio do Quinto,402303.931399527
BA,2930774,Sobradinho,2056020.85095009
BA,2930808,Souto Soares,463827.271516472
BA,2930907,Tabocas do Brejo Velho,2565485.37824815
BA,2931004,Tanhaçu,2226090.07248346
BA,2931053,Tanque Novo,1222045.83782151
BA,2931103,Tanquinho,316548.077719543
BA,2931202,Taperoá,463761.178054785
BA,2931301,Tapiramutá,1048878.25512145
BA,2931350,Teixeira de Freitas,41867428.3405682
BA,2931400,Teodoro Sampaio,446790.884682168
BA,2931509,Teofilândia,928613.218770704
BA,2931608,Teolândia,495728.924289569
BA,2931707,Terra Nova,543884.981877071
BA,2931806,Tremedal,891011.162634345
BA,2931905,Tucano,3001694.07076545
BA,2932002,Uauá,1294883.95084642
BA,2932101,Ubaíra,1094578.87077156
BA,2932200,Ubaitaba,1407998.04595991
BA,2932309,Ubatã,1114174.52821562
BA,2932408,Uibaí,792532.29450037
BA,2932457,Umburanas,62903.1071615929
BA,2932507,Una,7192341.29542278
BA,2932606,Urandi,2922387.18903626
BA,2932705,Uruçuca,2680928.02289599
BA,2932804,Utinga,889727.833816005
BA,2932903,Valença,7367943.38131787
BA,2933000,Valente,205831.43099696
BA,2933059,Várzea da Roça,587977.892577658
BA,2933109,Várzea do Poço,329626.510571529
BA,2933158,Várzea Nova,1137512.96192434
BA,2933174,Varzedo,695195.524666721
BA,2933208,Vera Cruz,10485324.9712886
BA,2933257,Vereda,942042.915779669
BA,2933307,Vitória da Conquista,118250975.259023
BA,2933406,Wagner,465671.828038624
BA,2933455,Wanderley,749380.398029751
BA,2933505,Wenceslau Guimarães,409005.583777919
BA,2933604,Xique-Xique,3525012.14048729
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,831094.506857089
CE,2300150,Acarapé,481608.064149474
CE,2300200,Acaraú,6115075.02406439
CE,2300309,Acopiara,3002327.05400759
CE,2300408,Aiuaba,762611.163309691
CE,2300507,Alcântaras,185716.92423614
CE,2300606,Altaneira,276365.34893916
CE,2300705,Alto Santo,490748.932991401
CE,2300754,Amontada,2850953.93774895
CE,2300804,Antonina do Norte,308781.801071418
CE,2300903,Apuiarés,326305.466700329
CE,2301000,Aquiraz,66597055.3287236
