UF,COD,MUN,VALOR_TOTAL_BF
BA,2908408,Conceição do Coité,4780509
BA,2908507,Conceição do Jacuípe,2751157
BA,2908606,Conde,2014684
BA,2908705,Condeúba,1149446
BA,2908804,Contendas do Sincorá,308714
BA,2908903,Coração de Maria,3161824
BA,2909000,Cordeiros,503135
BA,2909109,Coribe,1473.79
BA,2909208,Coronel João Sá,1773.68
BA,2909307,Correntina,2058164
BA,2909406,Cotegipe,1068126
BA,2909505,Cravolândia,325474
BA,2909604,Crisópolis,1953537
BA,2909703,Cristópolis,880644
BA,2909802,Cruz das Almas,3723933
BA,2909901,Curaçá,3242784
BA,2910008,Dário Meira,912014
BA,2910057,Dias d'Ávila,5438088
BA,2910107,Dom Basílio,746922
BA,2910206,Dom Macedo Costa,327578
BA,2910305,Elísio Medrado,529769
BA,2910404,Encruzilhada,1456.94
BA,2910503,Entre Rios,3375912
BA,2910602,Esplanada,2647561
BA,2910701,Euclides da Cunha,5973641
BA,2910727,Eunápolis,5924.67
BA,2910750,Fátima,1755454
BA,2910776,Feira da Mata,405042
BA,2910800,Feira de Santana,28493184
BA,2910859,Filadélfia,1620978
BA,2910909,Firmino Alves,534.29
BA,2911006,Floresta Azul,792182
BA,2911105,Formosa do Rio Preto,1632618
BA,2911204,Gandu,2481.39
BA,2911253,Gavião,650176
BA,2911303,Gentio do Ouro,828584
BA,2911402,Glória,1052562
BA,2911501,Gongogi,824503
BA,2911600,Governador Mangabeira,1291312
BA,2911659,Guajeru,457631
BA,2911709,Guanambi,5573991
BA,2911808,Guaratinga,2344098
BA,2911857,Heliópolis,1135957
BA,2911907,Iaçu,2203082
BA,2912004,Ibiassucê,610268
BA,2912103,Ibicaraí,1782496
BA,2912202,Ibicoara,1381094
BA,2912301,Ibicuí,1500758
BA,2912400,Ibipeba,1297449
BA,2912509,Ibipitanga,735163
BA,2912608,Ibiquera,459537
BA,2912707,Ibirapitanga,1411402
BA,2912806,Ibirapuã,641111
BA,2912905,Ibirataia,1336902
BA,2913002,Ibitiara,1111974
BA,2913101,Ibititá,1669.07
BA,2913200,Ibotirama,1430898
BA,2913309,Ichu,518533
BA,2913408,Igaporã,1039079
BA,2913457,Igrapiúna,900678
BA,2913507,Iguaí,2104892
BA,2913606,Ilhéus,10260248
BA,2913705,Inhambupe,2580739
BA,2913804,Ipecaetá,1668.51
BA,2913903,Ipiaú,3660106
BA,2914000,Ipirá,4551934
BA,2914109,Ipupiara,770.8
BA,2914208,Irajuba,580699
BA,2914307,Iramaia,828818
BA,2914406,Iraquara,1881227
BA,2914505,Irará,3628475
BA,2914604,Irecê,5244996
BA,2914653,Itabela,2450833
BA,2914703,Itaberaba,5774633
BA,2914802,Itabuna,9745999
BA,2914901,Itacaré,2401157
BA,2915007,Itaeté,1820.87
BA,2915106,Itagi,1386371
BA,2915205,Itagibá,1167706
BA,2915304,Itagimirim,516893
BA,2915353,Itaguaçu da Bahia,1131266
BA,2915403,Itaju do Colônia,582956
BA,2915502,Itajuípe,1595586
BA,2915601,Itamaraju,3420979
BA,2915700,Itamari,669436
BA,2915809,Itambé,1631737
BA,2915908,Itanagra,886351
BA,2916005,Itanhém,1320375
BA,2916104,Itaparica,1715865
BA,2916203,Itapé,727071
BA,2916302,Itapebi,856897
BA,2916401,Itapetinga,3829012
BA,2916500,Itapicuru,3282414
BA,2916609,Itapitanga,448793
BA,2916708,Itaquara,497154
BA,2916807,Itarantim,941759
BA,2916856,Itatim,1254016
BA,2916906,Itiruçu,1180681
BA,2917003,Itiúba,3269814
BA,2917102,Itororó,1351937
BA,2917201,Ituaçu,1070016
BA,2917300,Ituberá,2360619
BA,2917334,Iuiú,787058
BA,2917359,Jaborandi,677105
BA,2917409,Jacaraci,867439
BA,2917508,Jacobina,5551641
BA,2917607,Jaguaquara,2037459
BA,2917706,Jaguarari,2133912
BA,2917805,Jaguaripe,1639621
BA,2917904,Jandaíra,874177
BA,2918001,Jequié,8665612
BA,2918100,Jeremoabo,3370559
BA,2918209,Jiquiriçá,1251406
BA,2918308,Jitaúna,1311869
BA,2918357,João Dourado,1621961
BA,2918407,Juazeiro,14623227
BA,2918456,Jucuruçu,1066996
BA,2918506,Jussara,1355017
BA,2918555,Jussari,740541
BA,2918605,Jussiape,419348
BA,2918704,Lafaiete Coutinho,267945
BA,2918753,Lagoa Real,858687
BA,2918803,Laje,1624333
BA,2918902,Lajedão,321487
BA,2919009,Lajedinho,368352
BA,2919058,Lajedo do Tabocal,634407
BA,2919108,Lamarão,1232456
BA,2919157,Lapão,1804146
BA,2919207,Lauro de Freitas,9957.93
BA,2919306,Lençóis,753772
BA,2919405,Licínio de Almeida,737921
BA,2919504,Livramento de Nossa Senhora,2365908
BA,2919553,Luís Eduardo Magalhães,6248802
BA,2919603,Macajuba,1138833
BA,2919702,Macarani,1512922
BA,2919801,Macaúbas,2625925
BA,2919900,Macururé,833384
BA,2919926,Madre de Deus,1324636
BA,2919959,Maetinga,708.38
BA,2920007,Maiquinique,773.86
BA,2920106,Mairi,1732507
BA,2920205,Malhada,1449868
BA,2920304,Malhada de Pedras,574272
BA,2920403,Manoel Vitorino,1382081
BA,2920452,Mansidão,1454604
BA,2920502,Maracás,1545.19
BA,2920601,Maragogipe,4156317
BA,2920700,Maraú,2092.46
BA,2920809,Marcionílio Souza,1327062
BA,2920908,Mascote,1092269
BA,2921005,Mata de São João,3200367
BA,2921054,Matina,1034883
BA,2921104,Medeiros Neto,1555969
BA,2921203,Miguel Calmon,1901.66
BA,2921302,Milagres,924694
BA,2921401,Mirangaba,1998674
BA,2921450,Mirante,779863
BA,2921500,Monte Santo,5281151
BA,2921609,Morpará,784925
BA,2921708,Morro do Chapéu,2485.4
BA,2921807,Mortugaba,641057
BA,2921906,Mucugê,828182
BA,2922003,Mucuri,1798236
BA,2922052,Mulungu do Morro,1294159
BA,2922102,Mundo Novo,2311822
BA,2922201,Muniz Ferreira,590.13
BA,2922250,Muquém de São Francisco,1041109
BA,2922300,Muritiba,2713106
BA,2922409,Mutuípe,1423677
BA,2922508,Nazaré,1654856
BA,2922607,Nilo Peçanha,971183
BA,2922656,Nordestina,1238565
BA,2922706,Nova Canaã,1504105
BA,2922730,Nova Fátima,715768
BA,2922755,Nova Ibiá,556725
BA,2922805,Nova Itarana,808565
BA,2922854,Nova Redenção,731587
BA,2922904,Nova Soure,2319266
BA,2923001,Nova Viçosa,2435744
BA,2923035,Novo Horizonte,1159693
BA,2923050,Novo Triunfo,844382
BA,2923100,Olindina,2297.89
BA,2923209,Oliveira dos Brejinhos,1596667
BA,2923308,Ouriçangas,938251
BA,2923357,Ourolândia,1570614
BA,2923407,Palmas de Monte Alto,1400751
BA,2923506,Palmeiras,868343
BA,2923605,Paramirim,1368059
BA,2923704,Paratinga,3967065
BA,2923803,Paripiranga,2247959
BA,2923902,Pau Brasil,1520021
BA,2924009,Paulo Afonso,6353131
BA,2924058,Pé de Serra,1340525
BA,2924108,Pedrão,799043
BA,2924207,Pedro Alexandre,1799.22
BA,2924306,Piatã,1213288
BA,2924405,Pilão Arcado,3546342
BA,2924504,Pindaí,1077664
BA,2924603,Pindobaçu,2043296
BA,2924652,Pintadas,647535
BA,2924678,Piraí do Norte,606127
BA,2924702,Piripá,671875
BA,2924801,Piritiba,2269944
BA,2924900,Planaltino,834021
BA,2925006,Planalto,1943.53
